team,tot_pts,avg_fg_percent,avg_opp_fg_percent,tot_asts
Atlanta Hawks,8021.347826086957,0.4523478260869565,0.4571739130434782,1785.0
Boston Celtics,8121.304347826087,0.4550434782608696,0.44443478260869573,1812.7391304347825
Brooklyn Nets,8461.1,0.45640000000000003,0.45940000000000003,1833.9
Chicago Bulls,7858.217391304348,0.4439130434782608,0.44917391304347826,1790.8260869565217
Charlotte Hornets,8190.181818181818,0.4432727272727272,0.45400000000000007,1860.3636363636363
Cleveland Cavaliers,7987.0,0.4495217391304348,0.45852173913043476,1748.0
Dallas Mavericks,8324.130434782608,0.4585217391304347,0.4519565217391305,1783.5217391304348
Denver Nuggets,8364.260869565218,0.4584347826086956,0.45708695652173903,1913.7391304347825
Detroit Pistons,7879.347826086957,0.4459130434782609,0.4566521739130434,1719.304347826087
Golden State Warriors,8442.826086956522,0.45739130434782616,0.45404347826086955,1932.7826086956522
Houston Rockets,8240.91304347826,0.44939130434782604,0.4515652173913044,1721.8695652173913
Indiana Pacers,8086.913043478261,0.4502608695652174,0.4446086956521739,1770.5652173913043
Los Angeles Clippers,8138.739130434783,0.45752173913043476,0.4519130434782609,1775.2608695652175
Los Angeles Lakers,8312.782608695652,0.45791304347826095,0.45069565217391305,1828.4782608695652
Memphis Grizzlies,8006.380952380952,0.4532857142857143,0.4545238095238096,1742.095238095238
Miami Heat,7938.347826086957,0.4603478260869566,0.4422608695652175,1731.1739130434783
Milwaukee Bucks,8211.826086956522,0.4573043478260869,0.45391304347826095,1828.9565217391305
Minnesota Timberwolves,8118.260869565217,0.45369565217391306,0.46147826086956517,1842.391304347826
New Orleans Pelicans,8609.333333333334,0.4632222222222222,0.4626666666666666,1944.4444444444443
New York Knicks,7943.304347826087,0.44626086956521754,0.4550434782608696,1647.608695652174
Oklahoma City Thunder,8399.714285714286,0.4583571428571429,0.4507142857142857,1690.642857142857
Orlando Magic,8037.04347826087,0.4503478260869566,0.45360869565217393,1711.8695652173913
Philadelphia 76ers,7995.173913043478,0.45021739130434785,0.4512173913043479,1781.0869565217392
Phoenix Suns,8416.478260869566,0.4646521739130435,0.45621739130434785,1872.2608695652175
Portland Trail Blazers,8096.826086956522,0.453913043478261,0.45639130434782593,1726.7826086956522
Sacramento Kings,8317.826086956522,0.45643478260869563,0.462695652173913,1798.8260869565217
San Antonio Spurs,8170.782608695652,0.467695652173913,0.44334782608695655,1837.695652173913
Toronto Raptors,8137.217391304348,0.45134782608695645,0.4551739130434783,1758.1304347826087
Utah Jazz,8090.695652173913,0.46252173913043476,0.45086956521739124,1859.5217391304348
Washington Wizards,8107.304347826087,0.45152173913043486,0.46208695652173915,1748.1739130434783
League Average,8117.04347826087,0.45365217391304347,0.45365217391304347,1785.1304347826087
Charlotte Bobcats,7605.8,0.4403,0.4617,1691.3
New Orleans Hornets,7582.333333333333,0.44611111111111107,0.45511111111111113,1694.3333333333333
New Jersey Nets,7632.923076923077,0.43823076923076915,0.45123076923076927,1763.8461538461538
Seattle SuperSonics,8032.111111111111,0.45133333333333336,0.4589999999999999,1753.2222222222222
New Orleans/Oklahoma City Hornets,7722.0,0.4425,0.458,1528.0
Vancouver Grizzlies,7612.0,0.444,0.4685,1799.5
Atlanta Hawks,8021.347826086957,0.4523478260869565,0.4571739130434782,1785.0
Boston Celtics,8121.304347826087,0.4550434782608696,0.44443478260869573,1812.7391304347825
Brooklyn Nets,8461.1,0.45640000000000003,0.45940000000000003,1833.9
Chicago Bulls,7858.217391304348,0.4439130434782608,0.44917391304347826,1790.8260869565217
Charlotte Hornets,8190.181818181818,0.4432727272727272,0.45400000000000007,1860.3636363636363
Cleveland Cavaliers,7987.0,0.4495217391304348,0.45852173913043476,1748.0
Dallas Mavericks,8324.130434782608,0.4585217391304347,0.4519565217391305,1783.5217391304348
Denver Nuggets,8364.260869565218,0.4584347826086956,0.45708695652173903,1913.7391304347825
Detroit Pistons,7879.347826086957,0.4459130434782609,0.4566521739130434,1719.304347826087
Golden State Warriors,8442.826086956522,0.45739130434782616,0.45404347826086955,1932.7826086956522
Houston Rockets,8240.91304347826,0.44939130434782604,0.4515652173913044,1721.8695652173913
Indiana Pacers,8086.913043478261,0.4502608695652174,0.4446086956521739,1770.5652173913043
Los Angeles Clippers,8138.739130434783,0.45752173913043476,0.4519130434782609,1775.2608695652175
Los Angeles Lakers,8312.782608695652,0.45791304347826095,0.45069565217391305,1828.4782608695652
Memphis Grizzlies,8006.380952380952,0.4532857142857143,0.4545238095238096,1742.095238095238
Miami Heat,7938.347826086957,0.4603478260869566,0.4422608695652175,1731.1739130434783
Milwaukee Bucks,8211.826086956522,0.4573043478260869,0.45391304347826095,1828.9565217391305
Minnesota Timberwolves,8118.260869565217,0.45369565217391306,0.46147826086956517,1842.391304347826
New Orleans Pelicans,8609.333333333334,0.4632222222222222,0.4626666666666666,1944.4444444444443
New York Knicks,7943.304347826087,0.44626086956521754,0.4550434782608696,1647.608695652174
Oklahoma City Thunder,8399.714285714286,0.4583571428571429,0.4507142857142857,1690.642857142857
Orlando Magic,8037.04347826087,0.4503478260869566,0.45360869565217393,1711.8695652173913
Philadelphia 76ers,7995.173913043478,0.45021739130434785,0.4512173913043479,1781.0869565217392
Phoenix Suns,8416.478260869566,0.4646521739130435,0.45621739130434785,1872.2608695652175
Portland Trail Blazers,8096.826086956522,0.453913043478261,0.45639130434782593,1726.7826086956522
Sacramento Kings,8317.826086956522,0.45643478260869563,0.462695652173913,1798.8260869565217
San Antonio Spurs,8170.782608695652,0.467695652173913,0.44334782608695655,1837.695652173913
Toronto Raptors,8137.217391304348,0.45134782608695645,0.4551739130434783,1758.1304347826087
Utah Jazz,8090.695652173913,0.46252173913043476,0.45086956521739124,1859.5217391304348
Washington Wizards,8107.304347826087,0.45152173913043486,0.46208695652173915,1748.1739130434783
League Average,8117.04347826087,0.45365217391304347,0.45365217391304347,1785.1304347826087
Charlotte Bobcats,7605.8,0.4403,0.4617,1691.3
New Orleans Hornets,7582.333333333333,0.44611111111111107,0.45511111111111113,1694.3333333333333
New Jersey Nets,7632.923076923077,0.43823076923076915,0.45123076923076927,1763.8461538461538
Seattle SuperSonics,8032.111111111111,0.45133333333333336,0.4589999999999999,1753.2222222222222
New Orleans/Oklahoma City Hornets,7722.0,0.4425,0.458,1528.0
Vancouver Grizzlies,7612.0,0.444,0.4685,1799.5
